,id,text
0,1,"['@armygurl1999', '@angry_staffer', 'true', 'so', 'damn', 'true']"
1,1,"['@teknitiancat', '@fordnation', 'i', 'felt', 'like', 'all', 'of', 'his', 'corporate', 'donors', 'were', 'bribing', 'him', 'for', 'that', 'reason', 'alone', 'and', 'now', 'if', 'https://t', 'co/hp0cznz9fq']"
2,1,"['@yishay__majors', '@wrathofmog', '@angry_staffer', 'the', 'other', 'girl', 'could', 'have', 'been', 'stabbed', 'three', 'times', 'by', 'then']"
3,1,"['@warlickleslie', '@angry_staffer', 'where', 'the', 'parents', 'that', 'should', 'have', 'kept', 'her', 'in', 'the', 'house', 'i', 'get', 'she', 'was', 'a', 'minor', 'but', 'https://t', 'co/wpa5vxthku']"
4,1,"['@afcliam7', '@arnie1886', '@now_arsenai', 'malaria', 'affecting', 'him', 'badly']"
5,1,"['@reviewsrain', '@dbhfiction', '@deathsheadpress', 'so', 'a', 'mental', 'health', 'crisis', 'officer', 'would', 'be', 'trained', 'in', 'both', 'mental', 'health', 'https://t', 'co/m98ueufmi0']"
6,1,"['@missgabygarcia', 'lets', 'hope', 'we', 'all', 'turn', 'funny', 'delirious', '&amp', 'not', 'angry', 'delirious']"
7,1,"['@4evrnyt', 'i', 'will', 'never', 'bargain', 'but', 'i', 'will', 'be', 'angry', 'https://t', 'co/dthx8n8jg9']"
8,1,"['idk', 'about', 'your', 'relationships', 'but', 'sumn', 'about', 'leaving', 'me', 'upset', 'and', 'angry', 'for', 'hours', 'dont', 'sit', 'right', 'with', 'me', ':/', 'thing', 'https://t', 'co/lve4wkvstv']"
9,1,"['@timcast', 'great', 'idea', 'excuse', 'me', 'maam', 'can', 'you', 'put', 'the', 'knife', 'down', 'for', 'a', 'second', 'so', 'i', 'can', 'get', 'to', 'the', 'bottom', 'of', 'why', 'youre', 'so', 'angry']"
10,1,"['deadlydoublestandard', 'outspoken', 'black', 'women', 'are', 'labeled', 'angry', 'disrespectful', 'rude', 'and', 'low', 'class', 'while', 'white', 'wome', 'https://t', 'co/zcp3gy9bzx']"
11,1,"['i', 'am', 'angry', '/j']"
12,1,"['@fuckhonk', 'idk', 'wat', '*', 'is', 'but', 'it', 'is', 'rlly', 'cute', 'like', 'an', 'angry', 'fish:]']"
13,1,"['@plantsnponies', 'i', 'never', 'said', 'that', 'you', 'perceived', 'it', 'that', 'way', 'and', 'are', 'getting', 'angry', 'at', 'me', 'please', 'go', 'into', 'my', 'dms', 'and', 'https://t', 'co/ya3dxkchdw']"
14,1,"['@frodogood103074', '@angry_staffer', 'the', 'girl', 'in', 'pink', 'could', 'have', 'been', 'stabbed', 'to', 'death']"
15,1,"['two', 'steps', 'behind', 'https://t', 'co/31hhvficxh']"
