id,text
1,they didnt pick up im very sad 😄😄😚😚😚✨✨✨🤟 https://t.co/hzEDVdNrGO
1,"@MarknSid They are so cute bumble bees, I always get so sad when they start dying off. Its lovely to see nature bloom. 😘🙏"
1,Perhaps the world’s only free item is oxygen but how sad is it that humans can’t breathe it in during sickness and… https://t.co/YjaK1LdXzG
1,I’m so sad😭 I can’t believe this happened to George brah
1,@RammyDarkside @tony_forshaw @MMcC68 @theukepunk @GbirdGareth Sad too say we have turned into a gimmick club Daz
1,"@M_Z_Harrison Doth not a summer make. Very late this year, only the odd one seen on the coast. As a boy I  would ha… https://t.co/cRpG05fvM1"
1,@littlezart That really is true Zara. I'm sad that some people can't ask.
1,"@VanDijkSean 100%. It is sad because those girls and others have done so much. 

And now people are attacking Ray P… https://t.co/BgyietRqFe"
1,@itsPlainJana @reemorningstar she literally is it’s so sad
1,@surayyah__ahmad Very sad.
1,"@EricTrump Awwww honey. Daddy STILL doesn’t love you, no matter how much you try to shill his swill. You sad, sad boy."
1,@maidgameplay My aunts make fun of my because I can only spell in sign so I need to spell everything that I want to say and it’s sad
1,"@gaypuppet_ Oh heck yah. One of the first jokes I made was something like- Well, at least y'all haven't had to mask… https://t.co/hrSrzFCWZ9"
1,@saeslvr what made u sad that day 😭
1,@jvct the sad thing is that i would buy weezer trading cards so fast
1,"@ThatdadLilli @kissykirsten deadass though i am unironically getting over it pretty fast
i dont feel sad over the b… https://t.co/8MwfZBtPNe"
1,Sad reason Robert De Niro’s career has taken a nosedive  He is the Hollywood titan behind some of the industry’s bi… https://t.co/NPrO9T9wJP
1,@subtlebehavior stream sad day &lt;3
1,Listening to ‘Plastic’ made me so sad ah!😩
1,do u guys wanna hear something sad....i nvr got the toko four star
1,@Talixlov3 @DaisesXo the truth is that I started to feel sad because there was nothing really of them together like… https://t.co/fpzKGGLRkD
1,@icewitch_skye I’m so sad I work this weekend.
1,@AZGOP @AZSenateGOP @MichelleUgenti @JDMesnard @AZHouseGOP I will show up to vote in person if it means removing al… https://t.co/k4ojX1jUAB
1,"I'm so sad
and so depressed 
again"
1,"@ICEBL1NKLUCK I am buried up to my neck in
Don't create
There are places I'll remember
My pain is self-chosen
My heart is sad and lonely"
1,@0mNamahShivay @linkdlrb @Dontpushyourluk @HuXijin_GT Yes i get very sad seeing white $ elite making india and chin… https://t.co/GyG3atvWv1
1,And y’all gon sit up in this girl face and play like she only got what she got cause of sympathy LMFAO sad https://t.co/kSZfA9oWoW
1,@EmmaKennedy How sad!!!
