id,text
1,@ArmyGurl1999 @Angry_Staffer True.... so damn true! 😕
1,@TeknitianCat @fordnation I felt like all of his corporate donors were bribing him for that reason alone and now if… https://t.co/Hp0CzNZ9Fq
1,@Yishay__Majors @wrathofmog @Angry_Staffer The other girl could have been stabbed three times by then.
1,"@WarlickLeslie @Angry_Staffer Where the parents that should have kept her in the house? I get she was a minor, but… https://t.co/WPA5VxtHkU"
1,@AFCLiam7 @arnie1886 @now_arsenaI Malaria affecting him badly
1,@ReviewsRain @dbhfiction @deathsheadpress So a mental health crisis officer would be trained in both mental health… https://t.co/m98UEUfMI0
1,@MissGabyGarcia let’s hope we all turn funny delirious &amp; not angry delirious 😂😂😂
1,"@4evrnyt I will NEVER BARGAIN, but I WILL be ANGRY! https://t.co/DThX8n8jG9"
1,Idk about your relationships.. but sumn about leaving me upset and angry for hours don’t sit right with me :/ thing… https://t.co/lVe4WKVSTV
1,@Timcast Great idea. “Excuse me ma’am can you put the knife down for a second so I can get to the bottom of why you’re so angry!?”
1,"#DeadlyDoubleStandard
“Outspoken Black women are labeled angry, disrespectful, rude and low class, while white wome… https://t.co/zCp3gY9bZX"
1,i am ANGRY /j
1,@fuckhonk idk wat * is but it is rlly cute like an angry fish:]
1,@plantsnponies I never said that; you perceived it that way and are getting angry at me. Please go into my DMs and… https://t.co/YA3dXKchdW
1,@frodogood103074 @Angry_Staffer The girl in pink could have been stabbed to death.
1,Two Steps Behind https://t.co/31hhvFICXH
1,"@munconvo When i'm angry about your health, when im protective, when i be able to be a salty person to you its mean i love you"
1,@stirpicus @literalpumpkin @DeckNineGames I second all those things you said! Congrats @literalpumpkin
1,@Talkin_rational @Manik_M_Jolly I say let's not divert some of the O2 tankers and let them use the shortest way (bl… https://t.co/Zw8Zb81Y2b
1,Do you play Angry birds ? — no https://t.co/iCyUXG41WS
1,I’m Afraid to upgrade my iPhone 8 cause I’m enjoying this phone bill without having to pay off a phone and I’m afra… https://t.co/V1ernlQkkL
1,@Russe1TheTeapot @Bog54738973 @paullnet_kw @EnerGeoPolitics @FinancialTimes siblings pls dont be angry. we are all humans.
1,"@KaitMarieox You really gotta stop shitting your pants repeatedly, think it’s making you angry and go on racist rants"
1,Nope. https://t.co/EqPgg0ZdJW
1,"@noober432 @theevilswithiin @DeadByBHVR 1. Jokes are meant to be funny
2. This is clearly meant as an insult
3. I a… https://t.co/pHTEvcLaIR"
1,"@FrenchRainez @CrystalCipriani I have been angry for decades with how police have treated Black children, but havin… https://t.co/GYCIdsONpJ"
1,"@GhanaYesu_ Squinting, smiling or angry???
🙄🙄🙄🙄🙄🙄🙄"
1,@Holly02838462 @Angry_Staffer Apple doesn’t fall far fron the tree. His dad went after Gay and trans woman because… https://t.co/5OKRHWgEti
1,This is a very heated time. Folks get angry at the truth. https://t.co/X2SMalcIFD
1,@BiggMattWeaford Thanks Matt. I'm so bitter and angry right now. It's hurts.
1,@Angry_Staffer Tucker Carlson is truly the lowest form of life.  Some kind of slime or something.
1,@HenshawKate This is sad! Mehn! I am angry
